Event Number,Start Year,End Year,Start Fractional Day,End Fractional Day,Start Hour,End Hour
63,2022,2022,52.12498842592593,59.375,2.999722222222222,9.0
64,2022,2022,71.125,76.95832175925926,3.0,22.999722222222225
65,2022,2022,80.5,83.41666666666667,12.0,10.0
66,2022,2022,88.08332175925926,90.08333333333333,1.9997222222222222,2.0
67,2022,2022,90.12498842592592,92.625,2.999722222222222,15.0
68,2022,2022,92.79166666666667,97.54166666666667,19.0,13.0
69,2022,2022,110.66665509259259,114.58332175925926,15.999722222222221,13.999722222222221
71,2022,2022,119.58332175925926,124.20833333333333,13.999722222222221,5.0
72,2022,2022,132.0,134.66666666666666,0.0,16.0
73,2022,2022,141.25,143.41666666666666,6.0,10.0
74,2022,2022,146.1666550925926,148.25,3.999722222222222,6.0
75,2022,2022,165.79166666666666,169.41666666666666,19.0,10.0
77,2022,2022,171.70832175925926,174.41666666666666,16.999722222222225,10.0
79,2022,2022,190.79166666666666,197.375,19.0,9.0
81,2022,2022,212.7916550925926,215.83332175925926,18.999722222222225,19.999722222222225
83,2022,2022,227.08332175925926,229.2916550925926,1.9997222222222222,6.999722222222222
84,2022,2022,231.16666666666666,234.70832175925926,4.0,16.999722222222225
85,2022,2022,234.99998842592595,238.12498842592595,23.999722222222225,2.999722222222222
86,2022,2022,239.41666666666666,245.6666550925926,10.0,15.999722222222221
87,2022,2022,255.1666550925926,258.2916666666667,3.999722222222222,7.0
88,2022,2022,259.0833333333333,266.7916666666667,2.0,19.0
89,2022,2022,270.2499884259259,274.1249884259259,5.999722222222222,2.999722222222222
90,2022,2022,274.83332175925926,279.45832175925926,19.999722222222225,10.999722222222221
91,2022,2022,284.45832175925926,288.4166550925926,10.999722222222221,9.999722222222221
92,2022,2022,297.08332175925926,301.2916550925926,1.9997222222222222,6.999722222222222
93,2022,2022,316.7916666666667,321.0416550925926,19.0,0.9997222222222222
95,2022,2022,325.8749884259259,329.3749884259259,20.999722222222225,8.999722222222221
99,2022,2022,354.1249884259259,356.4583333333333,2.999722222222222,11.0
100,2022,2022,357.5,362.4166666666667,12.0,10.0
102,2023,2023,9.916655092592594,12.875,21.999722222222225,21.0
103,2023,2023,12.916655092592594,17.875,21.999722222222225,21.0
105,2023,2023,33.24998842592593,35.416666666666664,5.999722222222222,10.0
106,2023,2023,39.375,42.04165509259259,9.0,0.9997222222222222
107,2023,2023,44.208333333333336,50.708321759259256,5.0,16.999722222222225
108,2023,2023,51.41665509259259,55.5,9.999722222222221,12.0
109,2023,2023,57.166666666666664,62.875,4.0,21.0
110,2023,2023,62.99998842592593,65.0,23.999722222222225,0.0
113,2023,2023,73.45832175925926,76.66666666666667,10.999722222222221,16.0
114,2023,2023,79.54166666666667,85.04165509259259,13.0,0.9997222222222222
115,2023,2023,85.12498842592592,91.08332175925926,2.999722222222222,1.9997222222222222
117,2023,2023,113.12498842592592,116.75,2.999722222222222,18.0
118,2023,2023,120.20832175925926,123.04165509259259,4.999722222222222,0.9997222222222222
121,2023,2023,128.66666666666666,136.87498842592595,16.0,20.999722222222225
123,2023,2023,152.33332175925926,155.83332175925926,7.999722222222222,19.999722222222225
126,2023,2023,191.75,194.66666666666666,18.0,16.0
129,2023,2023,199.20833333333334,205.0,5.0,0.0
132,2023,2023,210.24998842592595,215.74998842592595,5.999722222222222,17.999722222222225
134,2023,2023,217.91666666666666,220.04166666666666,22.0,1.0
135,2023,2023,220.45833333333334,235.24998842592595,11.0,5.999722222222222
137,2023,2023,244.33333333333334,246.5416550925926,8.0,12.999722222222221
138,2023,2023,246.74998842592595,249.20832175925926,17.999722222222225,4.999722222222222
139,2023,2023,249.58333333333334,252.83333333333334,14.0,20.0
140,2023,2023,253.0416550925926,255.7916550925926,0.9997222222222222,18.999722222222225
141,2023,2023,256.3333333333333,259.20832175925926,8.0,4.999722222222222
142,2023,2023,260.5416666666667,263.1249884259259,13.0,2.999722222222222
144,2023,2023,267.3333333333333,272.5416550925926,8.0,12.999722222222221
147,2023,2023,293.2499884259259,295.4166550925926,5.999722222222222,9.999722222222221
150,2023,2023,307.5416550925926,311.0,12.999722222222221,0.0
151,2023,2023,313.9166666666667,317.45832175925926,22.0,10.999722222222221
152,2023,2023,319.1249884259259,321.2916666666667,2.999722222222222,7.0
153,2023,2023,328.70832175925926,331.5416666666667,16.999722222222225,13.0
154,2023,2023,331.7083333333333,334.9583333333333,17.0,23.0
155,2023,2023,335.125,337.75,3.0,18.0
157,2023,2023,349.58332175925926,354.4999884259259,13.999722222222221,11.999722222222221
159,2023,2023,359.9999884259259,364.375,23.999722222222225,9.0
161,2024,2024,11.13888888888889,14.089131944444446,3.3333333333333335,2.1391666666666667
162,2024,2024,14.546215277777778,18.576840277777777,13.109166666666667,13.844166666666668
164,2024,2024,22.150381944444444,28.30019675925926,3.609166666666667,7.204722222222222
165,2024,2024,29.255914351851853,32.95412037037037,6.141944444444444,22.898888888888887
166,2024,2024,33.078773148148144,36.27834490740741,1.8905555555555555,6.680277777777778
167,2024,2024,37.15094907407408,39.644120370370366,3.622777777777778,15.458888888888888
168,2024,2024,41.09847222222223,43.46697916666667,2.3633333333333333,11.2075
169,2024,2024,43.7162962962963,52.982569444444444,17.191111111111113,23.581666666666667
170,2024,2024,54.35381944444445,61.99953703703704,8.491666666666665,23.98888888888889
172,2024,2024,75.7119675925926,81.94489583333333,17.08722222222222,22.677500000000002
173,2024,2024,83.73166666666665,90.6709837962963,17.560000000000002,16.103611111111114
