Event Number,Start Year,End Year,Start Fractional Day,End Fractional Day,Start Hour,End Hour
150,2023,2023,244.33333333333334,246.5416550925926,8.0,12.999722222222221
151,2023,2023,246.74998842592595,249.16666666666666,17.999722222222225,4.0
152,2023,2023,249.58333333333334,252.87498842592595,14.0,20.999722222222225
153,2023,2023,253.08333333333334,255.7916550925926,2.0,18.999722222222225
154,2023,2023,256.3333333333333,259.20832175925926,8.0,4.999722222222222
155,2023,2023,260.5416666666667,263.1666550925926,13.0,3.999722222222222
157,2023,2023,267.3333333333333,272.70832175925926,8.0,16.999722222222225
161,2023,2023,293.2499884259259,295.5833333333333,5.999722222222222,14.0
164,2023,2023,307.5416550925926,311.1666666666667,12.999722222222221,4.0
165,2023,2023,313.9166666666667,317.6249884259259,22.0,14.999722222222221
167,2023,2023,328.70832175925926,331.58332175925926,16.999722222222225,13.999722222222221
