Element,Start Time,End Time
He,2022-01-14 13:00:00.106557,2022-01-15 18:59:59.868962
He,2022-01-17 19:59:59.953922,2022-01-19 21:59:59.873281
He,2022-01-20 01:00:00.007196,2022-01-21 11:00:00.053279
He,2022-01-22 02:00:00.092156,2022-01-24 04:00:00.011522
He,2022-01-25 02:00:00.152643,2022-01-27 04:00:00.072001
He,2022-01-30 04:59:59.966878,2022-02-01 17:00:00.122402
He,2022-02-01 23:00:00.074876,2022-02-05 18:59:59.976959
He,2022-02-10 11:00:00.036002,2022-02-12 05:59:59.853117
He,2022-02-12 18:00:00.073443,2022-02-14 16:00:00.024481
He,2022-02-16 23:00:00.061922,2022-02-25 03:00:00.086399
He,2022-02-25 18:00:00.125276,2022-03-03 00:59:59.907840
He,2022-03-06 00:00:00.133921,2022-03-07 16:00:00.132477
He,2022-03-08 11:00:00.139682,2022-03-13 21:00:00.056161
He,2022-03-14 08:59:59.961116,2022-03-18 04:00:00.028801
He,2022-03-20 05:59:59.948159,2022-03-22 16:59:59.953921
He,2022-03-25 17:00:00.014400,2022-04-04 03:59:59.951037
He,2022-04-04 07:00:00.084960,2022-04-05 17:59:59.965441
He,2022-04-08 21:59:59.994240,2022-04-17 23:00:00.010083
He,2022-04-19 18:59:59.976960,2022-04-23 14:59:59.879043
He,2022-04-27 15:59:59.899201,2022-04-30 17:59:59.943841
He,2022-05-03 14:59:59.870397,2022-05-07 07:59:59.953921
He,2022-05-09 09:00:00.038881,2022-05-13 04:00:00.106558
He,2022-05-20 13:00:00.123837,2022-05-23 14:00:00.018722
He,2022-05-25 23:00:00.040316,2022-05-27 22:59:59.975521
He,2022-05-30 04:59:59.863200,2022-05-31 04:00:00.154083
He,2022-06-10 20:00:00.018720,2022-06-16 22:59:59.958237
He,2022-06-18 18:59:59.925121,2022-06-24 04:00:00.007202
He,2022-07-02 19:00:00.102243,2022-07-07 23:59:59.900639
He,2022-07-09 09:59:59.946721,2022-07-11 20:00:00.118078
He,2022-07-11 22:59:59.936637,2022-07-13 18:00:00.069123
He,2022-07-15 04:59:59.949597,2022-07-19 03:59:59.985602
He,2022-07-22 21:00:00.069119,2022-07-23 18:00:00.060477
He,2022-07-27 19:59:59.915041,2022-08-04 08:00:00.066242
He,2022-08-04 23:00:00.105119,2022-08-08 05:59:59.952478
He,2022-08-14 19:00:00.128160,2022-08-17 04:00:00.149762
He,2022-08-17 16:59:59.889122,2022-08-21 09:00:00.138241
He,2022-08-22 12:00:00.082080,2022-08-28 13:59:59.871842
He,2022-08-29 00:00:00.108000,2022-08-29 19:00:00.115198
He,2022-08-29 21:00:00.099359,2022-08-30 12:59:59.972642
He,2022-08-30 20:00:00.074878,2022-09-02 20:59:59.969762
He,2022-09-02 22:00:00.119517,2022-09-06 06:59:59.951043
He,2022-09-08 13:00:00.154079,2022-09-21 06:00:00.103676
He,2022-09-21 16:59:59.858876,2022-09-29 14:59:59.930879
He,2022-09-30 19:59:59.858879,2022-10-04 08:59:59.974082
He,2022-10-04 12:00:00.107997,2022-10-05 07:00:00.115203
He,2022-10-10 22:00:00.149757,2022-10-13 21:00:00.060481
He,2022-10-14 20:59:59.870399,2022-10-17 03:59:59.907840
He,2022-10-22 18:00:00.107996,2022-10-28 00:00:00.056161
He,2022-10-28 02:59:59.874720,2022-10-29 06:59:59.968322
He,2022-11-11 20:00:00.074879,2022-11-15 06:00:00.056160
