Event Number,Start Year,End Year,Start Fractional Day,End Fractional Day,Start Hour,End Hour,Elements Decaying,Non-Decaying Elements
206,2022,2022,165.79166666666666,169.41666666666666,19.0,10.0,1,"['Fe', 'Si', 'O', 'C', 'N']"
208,2022,2022,171.70832175925926,174.41666666666666,16.999722222222225,10.0,1,"['Fe', 'Si', 'O', 'C', 'N']"
210,2022,2022,190.79166666666666,197.375,19.0,9.0,1,"['Fe', 'Si', 'O', 'C', 'N']"
212,2022,2022,212.7916550925926,215.83332175925926,18.999722222222225,19.999722222222225,1,"['Fe', 'Si', 'O', 'C', 'N']"
215,2022,2022,231.16666666666666,234.70832175925926,4.0,16.999722222222225,1,"['Fe', 'Si', 'O', 'C', 'N']"
217,2022,2022,239.41666666666666,245.6666550925926,10.0,15.999722222222221,5,['Fe']
218,2022,2022,255.1666550925926,258.2916666666667,3.999722222222222,7.0,3,"['Fe', 'N', 'Si']"
219,2022,2022,259.0833333333333,266.7916666666667,2.0,19.0,3,"['Fe', 'N', 'Si']"
220,2022,2022,270.2499884259259,274.1249884259259,5.999722222222222,2.999722222222222,3,"['Fe', 'N', 'Si']"
221,2022,2022,274.83332175925926,279.45832175925926,19.999722222222225,10.999722222222221,2,"['C', 'Fe', 'N', 'Si']"
222,2022,2022,284.45832175925926,288.4166550925926,10.999722222222221,9.999722222222221,1,"['Fe', 'Si', 'O', 'C', 'N']"
223,2022,2022,297.08332175925926,301.2916550925926,1.9997222222222222,6.999722222222222,1,"['Fe', 'Si', 'O', 'C', 'N']"
224,2022,2022,316.7916666666667,321.0416550925926,19.0,0.9997222222222222,1,"['Fe', 'Si', 'O', 'C', 'N']"
226,2022,2022,325.8749884259259,329.3749884259259,20.999722222222225,8.999722222222221,1,"['Fe', 'Si', 'O', 'C', 'N']"
230,2022,2022,354.1249884259259,356.4583333333333,2.999722222222222,11.0,1,"['Fe', 'Si', 'O', 'C', 'N']"
231,2022,2022,357.5,362.4166666666667,12.0,10.0,1,"['Fe', 'Si', 'O', 'C', 'N']"
233,2023,2023,9.916655092592594,17.875,21.999722222222225,21.0,1,"['Fe', 'Si', 'O', 'C', 'N']"
235,2023,2023,33.24998842592593,35.416666666666664,5.999722222222222,10.0,1,"['Fe', 'Si', 'O', 'C', 'N']"
236,2023,2023,39.375,42.04165509259259,9.0,0.9997222222222222,1,"['Fe', 'Si', 'O', 'C', 'N']"
237,2023,2023,44.208333333333336,50.708321759259256,5.0,16.999722222222225,1,"['Fe', 'Si', 'O', 'C', 'N']"
238,2023,2023,51.41665509259259,55.5,9.999722222222221,12.0,1,"['Fe', 'Si', 'O', 'C', 'N']"
239,2023,2023,57.166666666666664,62.875,4.0,21.0,4,"['Fe', 'Si']"
243,2023,2023,73.45832175925926,76.66666666666667,10.999722222222221,16.0,3,"['Fe', 'N', 'Si']"
244,2023,2023,79.54166666666667,85.04165509259259,13.0,0.9997222222222222,3,"['Fe', 'N', 'Si']"
245,2023,2023,85.12498842592592,91.08332175925926,2.999722222222222,1.9997222222222222,1,"['Fe', 'Si', 'O', 'C', 'N']"
247,2023,2023,113.12498842592592,116.75,2.999722222222222,18.0,1,"['Fe', 'Si', 'O', 'C', 'N']"
248,2023,2023,120.20832175925926,123.04165509259259,4.999722222222222,0.9997222222222222,1,"['Fe', 'Si', 'O', 'C', 'N']"
251,2023,2023,128.66666666666666,136.87498842592595,16.0,20.999722222222225,6,[]
253,2023,2023,152.33332175925926,155.83332175925926,7.999722222222222,19.999722222222225,1,"['Fe', 'Si', 'O', 'C', 'N']"
256,2023,2023,191.75,194.66666666666666,18.0,16.0,1,"['Fe', 'Si', 'O', 'C', 'N']"
259,2023,2023,199.20833333333334,205.0,5.0,0.0,5,['Fe']
262,2023,2023,210.24998842592595,215.74998842592595,5.999722222222222,17.999722222222225,5,['Fe']
264,2023,2023,217.91666666666666,220.04166666666666,22.0,1.0,4,"['Fe', 'Si']"
265,2023,2023,220.45833333333334,235.24998842592595,11.0,5.999722222222222,5,['Fe']
267,2023,2023,244.33333333333334,246.5416550925926,8.0,12.999722222222221,4,"['Fe', 'Si']"
268,2023,2023,246.74998842592595,249.20832175925926,17.999722222222225,4.999722222222222,1,"['Fe', 'Si', 'O', 'C', 'N']"
269,2023,2023,249.58333333333334,252.83333333333334,14.0,20.0,1,"['Fe', 'Si', 'O', 'C', 'N']"
270,2023,2023,253.0416550925926,255.7916550925926,0.9997222222222222,18.999722222222225,1,"['Fe', 'Si', 'O', 'C', 'N']"
271,2023,2023,256.3333333333333,259.20832175925926,8.0,4.999722222222222,1,"['Fe', 'Si', 'O', 'C', 'N']"
272,2023,2023,260.5416666666667,263.1249884259259,13.0,2.999722222222222,1,"['Fe', 'Si', 'O', 'C', 'N']"
274,2023,2023,267.3333333333333,272.5416550925926,8.0,12.999722222222221,1,"['Fe', 'Si', 'O', 'C', 'N']"
277,2023,2023,293.2499884259259,295.4166550925926,5.999722222222222,9.999722222222221,1,"['Fe', 'Si', 'O', 'C', 'N']"
280,2023,2023,307.5416550925926,311.0,12.999722222222221,0.0,1,"['Fe', 'Si', 'O', 'C', 'N']"
281,2023,2023,313.9166666666667,317.45832175925926,22.0,10.999722222222221,3,"['Fe', 'N', 'Si']"
283,2023,2023,328.70832175925926,331.5416666666667,16.999722222222225,13.0,1,"['Fe', 'Si', 'O', 'C', 'N']"
284,2023,2023,331.7083333333333,334.9583333333333,17.0,23.0,1,"['Fe', 'Si', 'O', 'C', 'N']"
285,2023,2023,335.125,337.75,3.0,18.0,1,"['Fe', 'Si', 'O', 'C', 'N']"
287,2023,2023,349.58332175925926,354.4999884259259,13.999722222222221,11.999722222222221,3,"['Fe', 'N', 'Si']"
289,2023,2023,359.9999884259259,364.375,23.999722222222225,9.0,1,"['Fe', 'Si', 'O', 'C', 'N']"
291,2024,2024,11.13888888888889,14.089131944444446,3.3333333333333335,2.1391666666666667,1,"['Fe', 'Si', 'O', 'C', 'N']"
292,2024,2024,14.546215277777778,18.576840277777777,13.109166666666667,13.844166666666668,1,"['Fe', 'Si', 'O', 'C', 'N']"
294,2024,2024,22.150381944444444,28.30019675925926,3.609166666666667,7.204722222222222,3,"['Fe', 'N', 'Si']"
295,2024,2024,29.255914351851853,32.95412037037037,6.141944444444444,22.898888888888887,4,"['Fe', 'Si']"
296,2024,2024,33.078773148148144,36.27834490740741,1.8905555555555555,6.680277777777778,1,"['Fe', 'Si', 'O', 'C', 'N']"
297,2024,2024,37.15094907407408,39.644120370370366,3.622777777777778,15.458888888888888,1,"['Fe', 'Si', 'O', 'C', 'N']"
298,2024,2024,41.09847222222223,43.46697916666667,2.3633333333333333,11.2075,6,[]
299,2024,2024,43.7162962962963,52.982569444444444,17.191111111111113,23.581666666666667,6,[]
300,2024,2024,54.35381944444445,61.99953703703704,8.491666666666665,23.98888888888889,1,"['Fe', 'Si', 'O', 'C', 'N']"
302,2024,2024,75.7119675925926,81.94489583333333,17.08722222222222,22.677500000000002,4,"['Fe', 'Si']"
303,2024,2024,83.73166666666665,98.15049768518519,17.560000000000002,3.6119444444444446,6,[]
304,2024,2024,106.00398148148149,109.03733796296297,0.09555555555555555,0.8961111111111111,1,"['Fe', 'Si', 'O', 'C', 'N']"
306,2024,2024,114.39765046296297,117.3063425925926,9.543611111111112,7.352222222222222,1,"['Fe', 'Si', 'O', 'C', 'N']"
308,2024,2024,131.1434375,134.34300925925928,3.4425000000000003,8.232222222222223,6,[]
309,2024,2024,134.67542824074073,140.9499074074074,16.210277777777776,22.797777777777778,6,[]
310,2024,2024,142.11337962962963,149.01114583333333,2.721111111111111,0.2675,1,"['Fe', 'Si', 'O', 'C', 'N']"
311,2024,2024,150.50704861111112,152.79245370370367,12.169166666666666,19.01888888888889,1,"['Fe', 'Si', 'O', 'C', 'N']"
312,2024,2024,154.99475694444445,158.60984953703706,23.874166666666667,14.636388888888888,1,"['Fe', 'Si', 'O', 'C', 'N']"
313,2024,2024,159.8564351851852,163.13910879629628,20.554444444444446,3.338611111111111,6,[]
