Event ID,Element,Duration,Max Flux,Initial Decay Rate,Average Decay Rate,Time to Peak,Peak Prominence,Number of Peaks,Skewness,Kurtosis,Std Flux,Median Flux,Normalized Time to Peak,Decay Rate 25%,Decay Rate 50%,Decay Rate 75%,Avg Decay Percentages,Target Label
277,0,48,7.4429e-06,0.0,0.0,13,7.4429e-06,1,6.709789608903146,43.02127659574468,1.0630406588609363e-06,0.0,0.2708333333333333,0.0,0.0,0.0,0.0,0
251,2,192,3.7585,-0.04522342208333333,3.5036979166666667e-06,59,3.75839879,53,2.608994580826943,8.47445573987979,0.606953855719107,0.0503035,0.3072916666666667,-0.007688377708333333,-0.0007261576041666666,5.493055555555535e-08,-0.002804826793981481,1
299,3,217,0.00036449,-1.3547250000000001e-05,1.2735483870967744e-07,23,0.00036449,37,2.7576647136788868,7.515162629693162,7.166656174022897e-05,0.0,0.10599078341013825,3.2455299539170514e-07,2.5470967741935487e-07,1.6980645161290322e-07,2.496897081413211e-07,1
40,0,145,6.885e-05,-1.6708750000000001e-06,1.3164137931034483e-07,19,6.885e-05,25,1.9642743713819006,3.2785785446319844,1.443879414690662e-05,0.0,0.1310344827586207,1.038620689655173e-07,2.6328275862068966e-07,1.7552183908045977e-07,1.808888888888889e-07,1
264,2,72,0.25197,-0.010236679166666667,-0.0008460458333333334,24,0.24869180000000002,18,0.48443751878291247,0.05982548728078019,0.06156152392150066,0.094371,0.3333333333333333,-0.004780294444444445,-0.003191952777777778,-0.00213907962962963,-0.0033704422839506178,1
81,2,72,0.26171,-0.008325323791666667,-0.00028113570833333335,32,0.26171,22,0.42826189861335023,-1.041867203727836,0.07215212554333321,0.081705,0.4444444444444444,-0.008426542833333333,-0.005487160305555555,-0.0010670698333333335,-0.004993590990740741,1
5,0,96,4.9464e-06,0.0,0.0,8,4.9464e-06,1,9.644196509600441,91.01052631578949,5.022035786162818e-07,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0
56,0,143,4.7271e-06,0.0,0.0,41,4.7271e-06,2,8.277329829192906,66.51419071439753,5.550332426776661e-07,0.0,0.2867132867132867,0.0,0.0,0.0,0.0,0
3,5,288,0.007586,2.3604166666666673e-05,1.1355555555555556e-05,7,0.007586,50,3.1327531670292035,8.954005523643751,0.001468575278387263,0.0,0.024305555555555556,4.482915277777778e-05,2.2711111111111112e-05,1.5140740740740741e-05,2.7560334876543213e-05,1
106,3,48,0.0,0.0,0.0,0,0.0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
